staircase.thisTrialN,staircase.stepSize,staircase.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,titl,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.01674033300000133,,0.010705375000014783,0.01674033300000133,0.4972219160000009,0.4972219160000009,0.5142867080000144,0.7856573749999995,2.933436833000002,right,10.0,1,1,2.423421625000003,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
1,1,8.0,2.9484566250000057,,2.9336270000000013,2.9484566250000057,3.431487000000004,3.431487000000004,3.4349940000000174,3.718668207999997,3.9875129160000142,right,8.0,0,0,0.5519386659999839,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
2,1,9.0,3.998020666000002,,3.9876841250000155,3.998020666000002,4.486054416000002,4.486054416000002,4.486054416000002,,4.51631629100001,right,9.0,1,1,0.027092707999997856,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
3,1,9.0,4.522406165999996,,4.516436166000005,4.522406165999996,5.014822500000008,5.014822500000008,5.018059125000008,5.301207166000012,5.550701875000016,right,9.0,0,0,0.5236023749999958,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
4,1,10.0,5.560973165999997,,5.550908458000009,5.560973165999997,6.048089833000006,6.048089833000006,6.052200583000001,6.334855500000003,6.771690625000019,left,-10.0,1,1,0.7193824169999914,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
5,1,10.0,6.780705833000013,,6.771853250000021,6.780705833000013,7.268921333000009,7.268921333000009,7.268921333000009,7.5648739160000105,8.204983958000014,right,10.0,1,1,0.9337189580000143,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
6,1,10.0,8.214444708000002,,8.205228040999998,8.214444708000002,8.701929207999996,8.701929207999996,8.701929207999996,8.998142208000019,10.150437041000004,right,10.0,0,0,1.4420612920000053,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
7,1,11.0,10.159546625000019,,10.15059770800002,10.159546625000019,10.6480435,10.6480435,10.651519833000009,10.935286415999997,12.500498833000023,left,-11.0,0,0,1.847778667,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
8,1,12.0,12.510711375,,12.500729875000019,12.510711375,12.998127083000014,12.998127083000014,13.002944500000012,13.284861916000011,14.299301791000005,left,-12.0,1,1,1.288225208,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
9,1,12.0,14.304952000000014,,14.299443958000012,14.304952000000014,14.798106665999995,14.798106665999995,14.801428625,15.083555208000007,17.200552458000004,left,-12.0,0,0,2.389299958999999,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
