staircase.thisTrialN,staircase.stepSize,staircase.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,titl,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.013602666993392631,,0.005160499989870004,0.013602666993392631,0.5074843749898719,0.5074843749898719,0.5105644169962034,0.7946562080032891,13.011235625002882,left,-10.0,0,0,12.493752624999615,428277,001,2024-09-06_11h52.35.143,adaptive staircase 1,2024.1.5,None,2024-09-06 11h52.38.268443 +0530,
1,2,12.0,13.033763874991564,,13.011555832999875,13.033763874991564,13.508439208002528,13.508439208002528,13.528224832989508,13.794661583000561,16.227556291996734,left,-12.0,0,0,2.7087615839991486,428277,001,2024-09-06_11h52.35.143,adaptive staircase 1,2024.1.5,None,2024-09-06 11h52.38.268443 +0530,
2,1,14.0,16.237515582994092,,16.22771691699745,16.237515582994092,16.72496979199059,16.72496979199059,16.728528207997442,17.0116224999947,18.94735670799855,right,14.0,1,1,2.219561290999991,428277,001,2024-09-06_11h52.35.143,adaptive staircase 1,2024.1.5,None,2024-09-06 11h52.38.268443 +0530,
3,1,13.0,18.95828641699336,,18.947501791990362,18.95828641699336,19.441744582989486,19.441744582989486,19.445673750000424,19.72817595799279,20.181501749990275,right,13.0,1,1,0.7356848749914207,428277,001,2024-09-06_11h52.35.143,adaptive staircase 1,2024.1.5,None,2024-09-06 11h52.38.268443 +0530,
4,1,13.0,20.19158529199194,,20.181703124995693,20.19158529199194,20.680022792003,20.680022792003,20.680022792003,20.975332374990103,21.54309008299606,right,13.0,1,1,0.8594614580069901,428277,001,2024-09-06_11h52.35.143,adaptive staircase 1,2024.1.5,None,2024-09-06 11h52.38.268443 +0530,
5,1,13.0,21.549414541994338,,21.543202916989685,21.549414541994338,22.04160020800191,22.04160020800191,22.045130917002098,22.328544832998887,22.930716582995956,right,13.0,1,1,0.8849330419907346,428277,001,2024-09-06_11h52.35.143,adaptive staircase 1,2024.1.5,None,2024-09-06 11h52.38.268443 +0530,
6,1,12.0,22.941774207996787,,22.930839416992967,22.941774207996787,23.425094666992663,23.425094666992663,23.428698542003985,23.712328499997966,24.24649008299457,left,-12.0,1,1,0.8193463330098893,428277,001,2024-09-06_11h52.35.143,adaptive staircase 1,2024.1.5,None,2024-09-06 11h52.38.268443 +0530,
7,1,12.0,24.257541957995272,,24.246621124999365,24.257541957995272,24.74164366700279,24.74164366700279,24.74547866699868,25.028796124999644,25.526257791992975,right,12.0,0,0,0.7748818750114879,428277,001,2024-09-06_11h52.35.143,adaptive staircase 1,2024.1.5,None,2024-09-06 11h52.38.268443 +0530,
8,1,13.0,25.532711207997636,,25.526351624997915,25.532711207997636,26.024078791990178,26.024078791990178,26.02737366699148,26.3114457079937,27.230493666997063,right,13.0,1,1,1.2044980409991695,428277,001,2024-09-06_11h52.35.143,adaptive staircase 1,2024.1.5,None,2024-09-06 11h52.38.268443 +0530,
9,1,13.0,27.24081775000377,,27.23073608300183,27.24081775000377,27.72870474999945,27.72870474999945,27.72870474999945,28.024333583001862,28.392698625000776,left,-13.0,0,0,0.6548920000059297,428277,001,2024-09-06_11h52.35.143,adaptive staircase 1,2024.1.5,None,2024-09-06 11h52.38.268443 +0530,
10,1,14.0,28.39858720799384,,28.39282516700041,28.39858720799384,28.89089429199521,28.89089429199521,28.894763124990277,29.17894124999293,29.498193999999785,left,-14.0,0,0,0.6044709580019116,428277,001,2024-09-06_11h52.35.143,adaptive staircase 1,2024.1.5,None,2024-09-06 11h52.38.268443 +0530,
11,1,15.0,29.50788224999269,,29.498360457990202,29.50788224999269,29.995010166996508,29.995010166996508,29.995010166996508,30.29100254199875,31.044052333003492,left,-15.0,0,0,1.043259540994768,428277,001,2024-09-06_11h52.35.143,adaptive staircase 1,2024.1.5,None,2024-09-06 11h52.38.268443 +0530,
12,1,16.0,31.051532666999265,,31.04420645799837,31.051532666999265,31.54082208299951,31.54082208299951,31.545232582997414,31.82714045800094,32.44293383299373,right,16.0,1,1,0.9000949170003878,428277,001,2024-09-06_11h52.35.143,adaptive staircase 1,2024.1.5,None,2024-09-06 11h52.38.268443 +0530,
13,1,16.0,32.44943858300394,,32.44304870799533,32.44943858300394,32.94075479199819,32.94075479199819,32.943449667000095,33.227318416989874,33.593516249995446,left,-16.0,0,0,0.6416721249988768,428277,001,2024-09-06_11h52.35.143,adaptive staircase 1,2024.1.5,None,2024-09-06 11h52.38.268443 +0530,
14,1,17.0,33.600526624999475,,33.593635375000304,33.600526624999475,34.09167329200136,34.09167329200136,34.0958885,34.37913800000388,34.81011787499301,right,17.0,1,1,0.7157847920025233,428277,001,2024-09-06_11h52.35.143,adaptive staircase 1,2024.1.5,None,2024-09-06 11h52.38.268443 +0530,
15,1,17.0,34.81668962498952,,34.81022858299548,34.81668962498952,35.30835362499056,35.30835362499056,35.312455249993945,35.595887999996194,36.09751695799059,right,17.0,1,1,0.7859067919926019,428277,001,2024-09-06_11h52.35.143,adaptive staircase 1,2024.1.5,None,2024-09-06 11h52.38.268443 +0530,
