Condition,DigitStim,ToneType,ToneProb,CorrectResponse,Condition_type,Digit_Stim,Tone_Type,Tone_Prob,Freq,Correct_Response,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,focused.started,number_display.started,fixation.started,number_display.stopped,fixation.stopped,textbox.started,recall_response.started,text.started,mouse.started,focused.stopped,recall_response.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,break_2.started,image.started,image.stopped,break_2.stopped,divided.started,number_display_2.started,standard_2.started,deviant_2.started,number_display_2.stopped,standard_2.stopped,textbox_2.started,recall_response_2.started,text_2.started,mouse_2.started,divided.stopped,recall_response_2.text,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,participant,age,gender,date,expName,psychopyVersion,frameRate,expStart,
Focused,9813,None,None,9813,,,,,,,0,0,0,0,,,,,0.05080245799763361,,0.03443679200427141,0.05080245799763361,0.9957712079994963,1.045751042001939,1.4829998330023955,2.9955924169989885,2.9955924169989885,2.9955924169989885,3.0042717499964056,12.149338417002582,9813,[0.006666666666666667],[-0.31666666666666665],[1],[0],[0],[9.1444220830017],['text'],,,,,,,,,,,,,,,,,,,,,,,,03,22,MALE,2024-11-28_16h03.49.700,attention,2024.1.5,None,2024-11-28 16h04.29.956032 +0530,
Focused,3637,None,None,3637,,,,,,,0,1,1,1,,,,,12.157591125003819,,12.150506292004138,12.157591125003819,13.14583195799787,13.149948958001914,13.632897041999968,15.145743624998431,15.145743624998431,15.145743624998431,3.0046744999999646,21.19776450000063,3637,[0.006666666666666667],[-0.31666666666666665],[1],[0],[0],[6.042542625000351],['text'],,,,,,,,,,,,,,,,,,,,,,,,03,22,MALE,2024-11-28_16h03.49.700,attention,2024.1.5,None,2024-11-28 16h04.29.956032 +0530,
Focused,9138,None,None,9138,,,,,,,0,2,2,2,,,,,21.20328108299873,,21.19818191700324,21.20328108299873,22.196125208000012,22.20202829199843,22.682801791997917,24.1959275420013,24.1959275420013,24.1959275420013,2.999388958000054,27.33820312500029,9138,[0.006666666666666667],[-0.31666666666666665],[1],[0],[0],[3.1404796249989886],['text'],,,,,,,,,,,,,,,,,,,,,,,,03,22,MALE,2024-11-28_16h03.49.700,attention,2024.1.5,None,2024-11-28 16h04.29.956032 +0530,
Focused,6764,None,None,6764,,,,,,,0,3,3,3,,,,,27.345618708000984,,27.338690625001618,27.345618708000984,28.333336374998908,28.333336374998908,28.82915395800228,30.338648958000704,30.338648958000704,30.338648958000704,3.0014941670015105,34.064729625002656,6764,[0.006666666666666667],[-0.31666666666666665],[1],[0],[0],[3.7244242090018815],['text'],,,,,,,,,,,,,,,,,,,,,,,,03,22,MALE,2024-11-28_16h03.49.700,attention,2024.1.5,None,2024-11-28 16h04.29.956032 +0530,
Focused,1269,None,None,1269,,,,,,,0,4,4,4,,,,,34.07044995800243,,34.06512649999786,34.07044995800243,35.06243658300082,35.066551042000356,35.549566499998036,37.062451958001475,37.062451958001475,37.062451958001475,3.006377750003594,40.39074983300088,1269,[0.006666666666666667],[-0.31666666666666665],[1],[0],[0],[3.3189710000006016],['text'],,,,,,,,,,,,,,,,,,,,,,,,03,22,MALE,2024-11-28_16h03.49.700,attention,2024.1.5,None,2024-11-28 16h04.29.956032 +0530,
Focused,5572,None,None,5572,,,,,,,0,5,5,5,,,,,40.39973233300407,,40.39177745800407,40.39973233300407,41.38465279200318,41.39598049999768,41.87927787499939,43.38925641700189,43.38925641700189,43.38925641700189,2.9992625420054537,45.95538654200209,5572,[0.006666666666666667],[-0.31666666666666665],[1],[0],[0],[2.564224125002511],['text'],,,,,,,,,,,,,,,,,,,,,,,,03,22,MALE,2024-11-28_16h03.49.700,attention,2024.1.5,None,2024-11-28 16h04.29.956032 +0530,
Focused,8827,None,None,8827,,,,,,,0,6,6,6,,,,,45.96229029200185,,45.95620549999876,45.96229029200185,46.95031016699795,46.95031016699795,47.44575383300253,48.9542980000042,48.9542980000042,48.9542980000042,2.999642833005055,52.37165045800066,8827,[0.006666666666666667],[-0.31666666666666665],[1],[0],[0],[3.415704082995944],['text'],,,,,,,,,,,,,,,,,,,,,,,,03,22,MALE,2024-11-28_16h03.49.700,attention,2024.1.5,None,2024-11-28 16h04.29.956032 +0530,
Focused,8459,None,None,8459,,,,,,,0,7,7,7,,,,,52.37925120800355,,52.372088666998025,52.37925120800355,53.36671112500335,53.36671112500335,53.8625640829996,55.37067908300378,55.37067908300378,55.37067908300378,3.0000607909969403,59.314429874997586,8459,[0.006666666666666667],[-0.31666666666666665],[1],[0],[0],[3.9420830000017304],['text'],,,,,,,,,,,,,,,,,,,,,,,,03,22,MALE,2024-11-28_16h03.49.700,attention,2024.1.5,None,2024-11-28 16h04.29.956032 +0530,
Focused,7940,None,None,7940,,,,,,,0,8,8,8,,,,,59.3207346670024,,59.3148270419988,59.3207346670024,60.312571708003816,60.31674633300281,60.80022050000116,62.312581999998656,62.312581999998656,62.312581999998656,2.999283875004039,66.25511408300372,7940,[0.006666666666666667],[-0.31666666666666665],[1],[0],[0],[3.9408747909983504],['text'],,,,,,,,,,,,,,,,,,,,,,,,03,22,MALE,2024-11-28_16h03.49.700,attention,2024.1.5,None,2024-11-28 16h04.29.956032 +0530,
Focused,5068,None,None,5068,,,,,,,0,9,9,9,,,,,66.26232641700335,,66.25555049999821,66.26232641700335,67.24997337500099,67.24997337500099,67.74577608300024,69.2563297500019,69.2563297500019,69.2563297500019,3.0023268750010175,72.52158662500005,5068,[0.006666666666666667],[-0.31666666666666665],[1],[0],[0],[3.263594500000181],['text'],,,,,,,,,,,,,,,,,,,,,,,,03,22,MALE,2024-11-28_16h03.49.700,attention,2024.1.5,None,2024-11-28 16h04.29.956032 +0530,
Focused,4426,None,None,4426,,,,,,,0,10,10,10,,,,,72.52908274999936,,72.52197533300205,72.52908274999936,73.5170256670026,73.5170256670026,74.01255958300317,75.52379912500328,75.52379912500328,75.52379912500328,3.0033486249958514,78.08092429200042,4426,[0.006666666666666667],[-0.31666666666666665],[1],[0],[0],[2.5554153339980985],['text'],,,,,,,,,,,,,,,,,,,,,,,,03,22,MALE,2024-11-28_16h03.49.700,attention,2024.1.5,None,2024-11-28 16h04.29.956032 +0530,
Focused,2015,None,None,2015,,,,,,,0,11,11,11,,,,,78.08726675000071,,78.08163308299845,78.08726675000071,79.0792775000009,79.08506375000434,79.5661499170019,81.07913437500247,81.07913437500247,81.07913437500247,3.0068357499985723,85.2718442080004,2015,[0.006666666666666667],[-0.31666666666666665],[1],[0],[0],[4.183206249996147],['text'],,,,,,,,,,,,,,,,,,,,,,,,03,22,MALE,2024-11-28_16h03.49.700,attention,2024.1.5,None,2024-11-28 16h04.29.956032 +0530,
Focused,2070,None,None,2070,,,,,,,0,12,12,12,,,,,85.2789022500001,,85.27224404200388,85.2789022500001,86.26727954200032,86.26727954200032,86.76278987499973,88.271365917004,88.271365917004,88.271365917004,3.000626542001555,91.7218235420005,2070,[0.006666666666666667],[-0.31666666666666665],[1],[0],[0],[3.44877504100441],['text'],,,,,,,,,,,,,,,,,,,,,,,,03,22,MALE,2024-11-28_16h03.49.700,attention,2024.1.5,None,2024-11-28 16h04.29.956032 +0530,
Focused,8428,None,None,8428,,,,,,,0,13,13,13,,,,,91.72889070800011,,91.7222220420008,91.72889070800011,92.71670679200179,92.71670679200179,93.21251412499987,94.72074016700208,94.72074016700208,94.72074016700208,3.0000302090047626,98.02168191700184,8428,[0.006666666666666667],[-0.31666666666666665],[1],[0],[0],[3.2992519159961375],['text'],,,,,,,,,,,,,,,,,,,,,,,,03,22,MALE,2024-11-28_16h03.49.700,attention,2024.1.5,None,2024-11-28 16h04.29.956032 +0530,
Focused,5552,None,None,5552,,,,,,,0,14,14,14,,,,,98.02886787500029,,98.02210058300261,98.02886787500029,99.01657341700047,99.01657341700047,99.51239037499909,101.02061800000229,101.02061800000229,101.02061800000229,3.000031042000046,103.8308785420013,5552,[0.006666666666666667],[-0.31666666666666665],[1],[0],[0],[2.8085590839982615],['text'],,,,,,,,,,,,,,,,,,,,,,,,03,22,MALE,2024-11-28_16h03.49.700,attention,2024.1.5,None,2024-11-28 16h04.29.956032 +0530,
Focused,9498,None,None,9498,,,,,,,0,15,15,15,,,,,103.83706387499842,,103.83143812500202,103.83706387499842,104.82905775000108,104.83321637500194,105.31614520800213,106.82952716699947,106.82952716699947,106.82952716699947,2.999651874997653,110.28172462499788,9498,[0.006666666666666667],[-0.31666666666666665],[1],[0],[0],[3.450468708004337],['text'],,,,,,,,,,,,,,,,,,,,,,,,03,22,MALE,2024-11-28_16h03.49.700,attention,2024.1.5,None,2024-11-28 16h04.29.956032 +0530,
Focused,6767,None,None,6767,,,,,,,0,16,16,16,,,,,110.287168750001,,110.2821113329992,110.287168750001,111.27912408299744,111.28329308299726,111.76662708300137,113.27915895800106,113.27915895800106,113.27915895800106,3.0068089159976807,115.93052225000429,6767,[0.006666666666666667],[-0.31666666666666665],[1],[0],[0],[2.641104250003991],['text'],,,,,,,,,,,,,,,,,,,,,,,,03,22,MALE,2024-11-28_16h03.49.700,attention,2024.1.5,None,2024-11-28 16h04.29.956032 +0530,
Focused,7933,None,None,7933,,,,,,,0,17,17,17,,,,,115.936727332999,,115.93098495800223,115.936727332999,116.92912708299991,116.93372808300046,117.41642358300305,118.92933266700129,118.92933266700129,118.92933266700129,2.99987137500284,122.2483614169978,7933,[0.006666666666666667],[-0.31666666666666665],[1],[0],[0],[3.3173752080037957],['text'],,,,,,,,,,,,,,,,,,,,,,,,03,22,MALE,2024-11-28_16h03.49.700,attention,2024.1.5,None,2024-11-28 16h04.29.956032 +0530,
Focused,9841,None,None,9841,,,,,,,0,18,18,18,,,,,122.25386512499972,,122.2487512919979,122.25386512499972,123.24574312500044,123.2499281249984,123.73309070800315,125.24572270800127,125.24572270800127,125.24572270800127,3.0062398330046562,130.23161658299796,9841,"[0.006666666666666667, 0.005, 0.0033333333333333335]","[-0.365, -0.33166666666666667, -0.3233333333333333]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[2.3432541670044884, 3.8165857499989215, 4.976467667001998]",['text'],,,,,,,,,,,,,,,,,,,,,,,,03,22,MALE,2024-11-28_16h03.49.700,attention,2024.1.5,None,2024-11-28 16h04.29.956032 +0530,
Focused,9427,None,None,9427,,,,,,,0,19,19,19,,,,,130.23734174999845,,130.2320427079976,130.23734174999845,131.22907579199818,131.23365495799953,131.716307374998,133.22907741700328,133.22907741700328,133.22907741700328,3.006314915997791,136.88219729199773,9427,[0.0033333333333333335],[-0.3233333333333333],[1],[0],[0],[3.6436532079969766],['text'],,,,,,,,,,,,,,,,,,,,,,,,03,22,MALE,2024-11-28_16h03.49.700,attention,2024.1.5,None,2024-11-28 16h04.29.956032 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.8828755420036,137.87920999999915,197.8977198749999,197.86407008300012,,,,,,,,,,,,,,,,,,,,03,22,MALE,2024-11-28_16h03.49.700,attention,2024.1.5,None,2024-11-28 16h04.29.956032 +0530,
,,,,,Divided,2759,standard,0.9,800,2759,,,,,0,0,0,0,197.8977198749999,,,,,,,,,,,,,,,,,,,,,,,,197.87495412499993,197.8977198749999,198.88331345866416,198.88331345866416,198.8957055830033,201.8821774579992,201.8821774579992,201.8821774579992,201.8821774579992,4.0008279590038,206.2385548329985,2759,[0.0033333333333333335],[-0.3233333333333333],[1],[0],[0],[4.354672500005108],['text'],03,22,MALE,2024-11-28_16h03.49.700,attention,2024.1.5,None,2024-11-28 16h04.29.956032 +0530,
,,,,,Divided,2860,standard,0.9,800,2860,,,,,0,1,1,1,206.24879262500326,,,,,,,,,,,,,,,,,,,,,,,,206.2392781669987,206.24879262500326,207.25094216666574,207.25094216666574,207.2456866249995,210.24932208300015,210.23767195799883,210.23767195799883,210.23767195799883,3.9998946659979993,213.98830325000017,2860,[0.0033333333333333335],[-0.3233333333333333],[1],[0],[0],[3.7453429579982185],['text'],03,22,MALE,2024-11-28_16h03.49.700,attention,2024.1.5,None,2024-11-28 16h04.29.956032 +0530,
,,,,,Divided,9901,standard,0.9,800,9901,,,,,0,2,2,2,213.99966533300176,,,,,,,,,,,,,,,,,,,,,,,,213.98881408300076,213.99966533300176,214.9957960416689,214.9957960416689,214.99575175000064,217.9944526670006,217.9944526670006,217.9944526670006,217.9944526670006,4.007219625003927,220.73104395800328,9901,[0.0033333333333333335],[-0.3233333333333333],[1],[0],[0],[2.7348421670030802],['text'],03,22,MALE,2024-11-28_16h03.49.700,attention,2024.1.5,None,2024-11-28 16h04.29.956032 +0530,
,,,,,Divided,4258,standard,0.9,800,4258,,,,,0,3,3,3,220.74051395800052,,,,,,,,,,,,,,,,,,,,,,,,220.73150924999936,220.74051395800052,221.7354540416675,221.7354540416675,221.732979583001,224.73174195799947,224.73174195799947,224.73174195799947,224.73174195799947,4.001738833001582,228.381937457998,4258,[0.0033333333333333335],[-0.3233333333333333],[1],[0],[0],[3.648515167005826],['text'],03,22,MALE,2024-11-28_16h03.49.700,attention,2024.1.5,None,2024-11-28 16h04.29.956032 +0530,
