Condition,DigitStim,ToneType,ToneProb,CorrectResponse,Condition_type,Digit_Stim,Tone_Type,Tone_Prob,Freq,Correct_Response,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,focused.started,number_display.started,fixation.started,number_display.stopped,fixation.stopped,textbox.started,recall_response.started,text.started,mouse.started,focused.stopped,recall_response.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,break_2.started,image.started,break_2.stopped,divided.started,number_display_2.started,standard_2.started,deviant_2.started,number_display_2.stopped,standard_2.stopped,textbox_2.started,recall_response_2.started,text_2.started,mouse_2.started,divided.stopped,recall_response_2.text,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,participant,age,gender,date,expName,psychopyVersion,frameRate,expStart,
Focused,9813,None,None,9813,,,,,,,0,0,0,0,,,,,0.06713445799687179,,0.0505037499970058,0.06713445799687179,1.0071392909958377,1.0644467910024105,1.49731041600171,3.004037541002617,3.004037541002617,3.004037541002617,3.005228707996139,14.436591958001372,9813,[0.03333333333333333],[-0.3],[1],[0],[0],[11.430856209000922],['text'],,,,,,,,,,,,,,,,,,,,,,,06,20,male,2024-11-29_11h26.40.394,attention,2024.1.5,None,2024-11-29 11h27.02.174841 +0530,
Focused,3637,None,None,3637,,,,,,,0,1,1,1,,,,,14.443388540996239,,14.437369665996812,14.443388540996239,15.430978915996093,15.430978915996093,15.926813500002027,17.437130040998454,17.437130040998454,17.437130040998454,3.001247250002052,22.119130416002008,3637,"[0.04666666666666667, 0.051666666666666666]","[-0.15833333333333333, -0.3016666666666667]","[1, 1]","[0, 0]","[0, 0]","[3.7472615000006044, 4.6804023340009735]",['text'],,,,,,,,,,,,,,,,,,,,,,,06,20,male,2024-11-29_11h26.40.394,attention,2024.1.5,None,2024-11-29 11h27.02.174841 +0530,
Focused,9138,None,None,9138,,,,,,,0,2,2,2,,,,,22.126730541000143,,22.120055166000384,22.126730541000143,23.114222582997172,23.114222582997172,23.610137333002058,25.118890416000795,25.118890416000795,25.118890416000795,3.000431790998846,30.412227125001664,9138,[0.02666666666666667],[-0.31666666666666665],[1],[0],[0],[5.291578083997592],['text'],,,,,,,,,,,,,,,,,,,,,,,06,20,male,2024-11-29_11h26.40.394,attention,2024.1.5,None,2024-11-29 11h27.02.174841 +0530,
Focused,6764,None,None,6764,,,,,,,0,3,3,3,,,,,30.419039082997188,,30.412876207999943,30.419039082997188,31.410062582996034,31.414153040997917,31.89726454099582,33.41005320799741,33.41005320799741,33.41005320799741,3.006682749997708,36.3126498749989,6764,[0.02666666666666667],[-0.31666666666666665],[1],[0],[0],[2.8930048330003046],['text'],,,,,,,,,,,,,,,,,,,,,,,06,20,male,2024-11-29_11h26.40.394,attention,2024.1.5,None,2024-11-29 11h27.02.174841 +0530,
Focused,1269,None,None,1269,,,,,,,0,4,4,4,,,,,36.31880445800198,,36.31307262500195,36.31880445800198,37.31002841600275,37.31426074999763,37.79739683299704,39.3100426250021,39.3100426250021,39.3100426250021,3.006129792003776,42.102524458001426,1269,[0.02666666666666667],[-0.31666666666666665],[1],[0],[0],[2.783196707998286],['text'],,,,,,,,,,,,,,,,,,,,,,,06,20,male,2024-11-29_11h26.40.394,attention,2024.1.5,None,2024-11-29 11h27.02.174841 +0530,
Focused,5572,None,None,5572,,,,,,,0,5,5,5,,,,,42.11007816599886,,42.102925624996715,42.11007816599886,43.09741579100228,43.09741579100228,43.59384887499618,45.10429095799918,45.10429095799918,45.10429095799918,3.002917999998317,47.46253929100203,5572,[0.02666666666666667],[-0.31666666666666665],[1],[0],[0],[2.356589625000197],['text'],,,,,,,,,,,,,,,,,,,,,,,06,20,male,2024-11-29_11h26.40.394,attention,2024.1.5,None,2024-11-29 11h27.02.174841 +0530,
Focused,8827,None,None,8827,,,,,,,0,6,6,6,,,,,47.468111499998486,,47.4629907080016,47.468111499998486,48.460456499997235,48.46665479100193,48.94709620800131,50.45995362500253,50.45995362500253,50.45995362500253,3.006207833001099,53.82860370799608,8827,[0.02666666666666667],[-0.31666666666666665],[1],[0],[0],[3.359287499995844],['text'],,,,,,,,,,,,,,,,,,,,,,,06,20,male,2024-11-29_11h26.40.394,attention,2024.1.5,None,2024-11-29 11h27.02.174841 +0530,
Focused,8459,None,None,8459,,,,,,,0,7,7,7,,,,,53.833903874998214,,53.829026583000086,53.833903874998214,54.82680850000179,54.8309230829982,55.31383724999614,56.82684029099619,56.82684029099619,56.82684029099619,2.999372083002527,59.36267816599866,8459,[0.02666666666666667],[-0.31666666666666665],[1],[0],[0],[2.5341737080016173],['text'],,,,,,,,,,,,,,,,,,,,,,,06,20,male,2024-11-29_11h26.40.394,attention,2024.1.5,None,2024-11-29 11h27.02.174841 +0530,
Focused,7940,None,None,7940,,,,,,,0,8,8,8,,,,,59.36873275000107,,59.36313749999681,59.36873275000107,60.36005750000186,60.364133249997394,60.84711233300186,62.360443707999366,62.360443707999366,62.360443707999366,3.006745957995008,67.4694057079978,7940,[0.02666666666666667],[-0.31666666666666665],[1],[0],[0],[5.09938708300615],['text'],,,,,,,,,,,,,,,,,,,,,,,06,20,male,2024-11-29_11h26.40.394,attention,2024.1.5,None,2024-11-29 11h27.02.174841 +0530,
Focused,5068,None,None,5068,,,,,,,0,9,9,9,,,,,67.4765538329957,,67.46984704100032,67.4765538329957,68.46450516599725,68.46450516599725,68.9601098330022,70.46878049999941,70.46878049999941,70.46878049999941,3.0004857500025537,75.06249324999953,5068,[0.02666666666666667],[-0.31666666666666665],[1],[0],[0],[4.592073915999208],['text'],,,,,,,,,,,,,,,,,,,,,,,06,20,male,2024-11-29_11h26.40.394,attention,2024.1.5,None,2024-11-29 11h27.02.174841 +0530,
