trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.018417583999962517,,0.014949792000152229,0.018417583999962517,0.9966010420000657,1.0072139590001825,5.644929667000042,down,1,4.626251832999969,None,-2,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
1,0,1,0,5.66532104199996,,5.647013167000068,5.66532104199996,6.6417636670000775,6.657813334000139,7.81246354200016,down,1,1.1665130000001227,None,3,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
2,0,2,0,7.824318334000054,,7.814032417000135,7.824318334000054,8.81058120900002,8.820614666999973,9.206914500000039,up,1,0.38929799999982606,None,0,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
3,0,3,0,9.21243670900003,,9.208474459000172,9.21243670900003,10.204137625000158,10.21001124999998,10.87998308400006,up,0,0.6743650420000904,None,2,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
4,0,4,0,10.887129667000181,,10.881634416999987,10.887129667000181,11.876296417000049,11.876296417000049,12.3460956670001,down,1,0.464954458999955,None,-5,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
5,0,5,0,12.352908250000155,,12.347638749999987,12.352908250000155,13.341377584000156,13.341377584000156,13.846180209000067,up,1,0.5019827920000353,None,0,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
6,0,6,0,13.853277625000146,,13.847851250000076,13.853277625000146,14.84332145899998,14.84332145899998,15.62380033400018,down,1,0.7763479999998708,None,3,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
7,0,7,0,15.630672624999988,,15.625531709000143,15.630672624999988,16.620360709000124,16.62620016699998,17.05713554199997,up,0,0.43123645799983024,None,1,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
8,0,8,0,17.06395012500002,,17.058760167000173,17.06395012500002,18.053979834000074,18.060042000000067,18.44105562499999,up,1,0.38565479199996844,None,0,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
9,0,9,0,18.447748875000116,,18.442610834000106,18.447748875000116,19.437399584000104,19.443364625000186,19.873779875000082,down,0,0.4284292079998977,None,0,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
10,0,10,0,19.880710500000077,,19.875453834000155,19.880710500000077,20.8706077920001,20.876453167000136,21.289917750000086,up,1,0.41199441699995987,None,0,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
11,0,11,0,21.296445791999986,,21.291456874999994,21.296445791999986,22.287577792000093,22.293472084000086,22.957769250000183,up,1,0.6686943340000653,None,0,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
12,0,12,0,22.96466379200001,,22.959500208999998,22.96466379200001,23.95395637499996,23.959993250000025,24.279476875,down,0,0.32306033300005765,None,0,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
13,0,13,0,24.28632083399998,,24.28100904200005,24.28632083399998,25.27678345900017,25.27678345900017,25.662740584000176,up,1,0.380930416999945,None,0,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
14,0,14,0,25.669731749999983,,25.66433516699999,25.669731749999983,26.65988316700009,26.65988316700009,27.130336250000028,up,1,0.46339149999994333,None,0,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
15,0,15,0,27.136353209000163,,27.131904334000183,27.136353209000163,28.126598834000106,28.126598834000106,28.49047504200007,down,1,0.3560302910000246,None,-2,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
16,0,16,0,28.497291667000127,,28.492006917000026,28.497291667000127,29.487248834000184,29.49329470900011,30.39622062500007,up,1,0.9074341669997921,None,0,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
17,0,17,0,30.40298125000004,,30.3977625,30.40298125000004,31.393379959000185,31.393379959000185,32.140553625000166,up,1,0.7380738749998272,None,0,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
18,0,18,0,32.14630262500009,,32.14226995900003,32.14630262500009,33.13703616700013,33.14263266700004,33.47935625000014,down,0,0.3387920000000122,None,0,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
19,0,19,0,33.48636525000006,,33.48088745900009,33.48636525000006,34.47657049999998,34.47657049999998,34.829123125000024,down,0,0.3487328329999855,None,0,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
20,0,20,0,34.83633525000005,,34.83069716700015,34.83633525000005,35.826611000000185,35.826611000000185,36.19046670900002,up,0,0.3617167499999141,None,2,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
21,0,21,0,36.197200834000114,,36.192038208999975,36.197200834000114,37.187230624999984,37.19311004200017,38.007179209000014,down,1,0.80834645799996,None,2,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
22,0,22,0,38.01379570900008,,38.00889070900007,38.01379570900008,39.004040499999974,39.00995437500001,39.379781125000136,up,1,0.3732575409999299,None,0,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
23,0,23,0,39.386727000000064,,39.381345709000016,39.386727000000064,40.376805000000104,40.376805000000104,41.00702087500008,up,1,0.6260324580000542,None,0,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
24,0,24,0,41.01339529200004,,41.008567042000095,41.01339529200004,42.003665041999966,42.00957037500007,42.40707199999997,down,1,0.40174324999998134,None,-3,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
25,0,25,0,42.41317966700012,,42.408595875000174,42.41317966700012,43.40429600000016,43.410111542000095,44.05761662500004,up,1,0.6518412909999824,None,0,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
