trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.04616004099989368,,0.020183874999929685,10,0.04616004099989368,0.04616004099989368,0.035591333000411396,1.983679165999547,[0.09666666666666666],[-0.29333333333333333],[1],[0],[0],[1.9476713330000166],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
1,0,1,0,1.9992960829999902,,1.9864527909999197,5,1.9992960829999902,1.9992960829999902,0.008045792000302754,3.7306689159995585,[-0.405],[-0.4683333333333333],[1],[0],[0],[1.7364692500000274],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
2,0,2,0,3.7548479159995622,,3.7329546249998202,10,3.7548479159995622,3.7548479159995622,0.014981917000113754,5.0228649159998895,[0.225],[0.025],[1],[0],[0],[1.2752847090000614],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
3,0,3,0,5.046842290999848,,5.02509074999989,10,5.046842290999848,5.046842290999848,0.014649124999777996,6.472966207999889,[0.415],[0.2783333333333333],[1],[0],[0],[1.4335714589997224],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
4,0,4,0,6.487623624999742,,6.475182207999751,5,6.487623624999742,6.487623624999742,0.0077108750001571025,8.106548249999832,[-0.49],[0.09666666666666666],[1],[0],[0],[1.6239784580002379],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
5,0,5,0,8.121868624999934,,8.108909457999744,5,8.121868624999934,8.121868624999934,0.00811095800008843,9.590470582999842,[-0.42],[-0.205],[1],[0],[0],[1.4738732079999863],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
6,0,6,0,9.605646624999736,,9.592788624999685,5,9.605646624999736,9.605646624999736,0.008096833000308834,11.147376874999736,[-0.14],[0.01],[1],[0],[0],[1.5468875420001496],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
7,0,7,0,11.171829999999773,,11.149732665999636,10,11.171829999999773,11.171829999999773,0.015208540999992692,12.40627133299995,[-0.025],[0.3883333333333333],[1],[0],[0],[1.2416800420000982],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
8,0,8,0,12.421336124999925,,12.408446790999733,5,12.421336124999925,12.421336124999925,0.007760292000057234,14.040096874999563,[-0.47833333333333333],[-0.025],[1],[0],[0],[1.6242191659998753],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
9,0,9,0,14.06414599999971,,14.042442999999821,10,14.06414599999971,14.06414599999971,0.015016500000001543,16.214356874999794,[0.44],[-0.285],[1],[0],[0],[2.1572134580001148],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
